case,curve,time_h_from_rainfall_onset,value,unit,y_axis,absolute_time,relative_displacement_mm,main_damage_core_size_voxels
S1,blue_surface_displacement,0.094444,-0.2,mm,left_mm,2025-7-7 14:05,-0.2,
S1,blue_surface_displacement,0.095556,-0.2,mm,left_mm,2025-7-7 14:05,-0.2,
S1,blue_surface_displacement,0.096667,-0.2,mm,left_mm,2025-7-7 14:05,-0.2,
S1,blue_surface_displacement,0.097778,-0.2,mm,left_mm,2025-7-7 14:05,-0.2,
S1,blue_surface_displacement,0.098889,-0.2,mm,left_mm,2025-7-7 14:05,-0.2,
S1,blue_surface_displacement,0.1,-0.2,mm,left_mm,2025-7-7 14:06,-0.2,
S1,blue_surface_displacement,0.101111,-0.2,mm,left_mm,2025-7-7 14:06,-0.2,
S1,blue_surface_displacement,0.102222,-0.2,mm,left_mm,2025-7-7 14:06,-0.2,
S1,blue_surface_displacement,0.103333,-0.2,mm,left_mm,2025-7-7 14:06,-0.2,
S1,blue_surface_displacement,0.104444,-0.2,mm,left_mm,2025-7-7 14:06,-0.2,
S1,blue_surface_displacement,0.105556,-0.2,mm,left_mm,2025-7-7 14:06,-0.2,
S1,blue_surface_displacement,0.106667,-0.2,mm,left_mm,2025-7-7 14:06,-0.2,
S1,blue_surface_displacement,0.107778,-0.2,mm,left_mm,2025-7-7 14:06,-0.2,
S1,blue_surface_displacement,0.108889,-0.2,mm,left_mm,2025-7-7 14:06,-0.2,
S1,blue_surface_displacement,0.11,-0.2,mm,left_mm,2025-7-7 14:06,-0.2,
S1,blue_surface_displacement,0.111111,-0.2,mm,left_mm,2025-7-7 14:06,-0.2,
S1,blue_surface_displacement,0.112222,-0.2,mm,left_mm,2025-7-7 14:06,-0.2,
S1,blue_surface_displacement,0.113333,-0.2,mm,left_mm,2025-7-7 14:06,-0.2,
S1,blue_surface_displacement,0.114444,-0.2,mm,left_mm,2025-7-7 14:06,-0.2,
S1,blue_surface_displacement,0.115556,-0.2,mm,left_mm,2025-7-7 14:06,-0.2,
S1,blue_surface_displacement,0.116667,-0.2,mm,left_mm,2025-7-7 14:07,-0.2,
S1,blue_surface_displacement,0.117778,-0.2,mm,left_mm,2025-7-7 14:07,-0.2,
