PWP-0.25m,Normalized CAT-RMS,PVP-0.50m,Normalized CAT-RMS,PVP-0.75m,Normalized CAT-RMS
x1,y1,x2,y2,x3,y3
-7.00E-05,0,0.02182,0,0.02418,0.00147
4.8E-4,0,0.02194,0,0.02712,0.00148
-1.00E-04,0,0.02242,0,0.02501,0.00148
5E-5,0,0.02211,0,0.02443,0.00148
0,0,0.02213,0,0.02682,0.00148
7E-5,0,0.02222,0,0.02391,0.00148
1.5E-4,0,0.02209,0,0.02513,0.00148
-4.00E-04,0,0.02209,0,0.02648,0.00148
2.6E-4,0,0.02201,0,0.02397,0.00148
-6.00E-05,0,0.02254,0,0.02529,0.00148
-3.40E-04,0,0.02218,0,0.02593,0.00151
2E-5,0,0.02258,0,0.0239,0.00151
1.6E-4,0,0.02258,0,0.02603,0.00151
4.2E-4,0,0.02258,0,0.02618,0.00151
1.5E-4,0,0.02245,0,0.02436,0.00151
1.3E-4,0,0.02225,0,0.02528,0.00151
-8.00E-05,0,0.02275,0,0.02668,0.00151
6.5E-4,0,0.02288,0,0.02488,0.00151
2.1E-4,0,0.02304,0,0.02493,0.00151
4.9E-4,0,0.02307,0,0.02467,0.00151
4.5E-4,0,0.02335,0,0.02741,0.00151
2.6E-4,0,0.02328,0,0.02881,0.00151
4.7E-4,0,0.02334,0,0.02909,0.00151
5.6E-4,0,0.02343,0,0.02653,0.00151
5E-4,0,0.02319,0,0.02475,0.00151
5.9E-4,0,0.02359,0,0.02636,0.00151
3.7E-4,0,0.0237,0,0.0266,0.00151
7.2E-4,0,0.0232,0,0.02526,0.00151
5.9E-4,0,0.02336,0,0.0275,0.00151
5.3E-4,0,0.02353,0,0.02489,0.00151
7.1E-4,0,0.02365,0,0.02612,0.00151
-1.20E-04,0,0.02355,0,0.02782,0.00151
3E-4,0,0.02338,0,0.02519,0.00151
1.7E-4,0,0.02341,0,0.02706,0.00151
1.2E-4,0,0.02348,0,0.0278,0.00151
5.7E-4,0,0.02348,0,0.0249,0.00152
1.9E-4,0,0.02305,0,0.02732,0.00152
6.4E-4,0,0.02344,0,0.02665,0.00152
2.9E-4,0,0.02345,0,0.02499,0.00152
2.2E-4,0,0.02356,0,0.02727,0.00152
2.9E-4,0,0.02365,0,0.02712,0.00155
5.3E-4,0,0.02345,0,0.02547,0.00155
5.6E-4,0,0.02357,0,0.02697,0.00155
7.9E-4,0,0.02406,0,0.02834,0.00155
5.6E-4,0,0.02383,0,0.02583,0.00155
4.5E-4,0,0.02375,0,0.02655,0.00155
1.7E-4,0,0.02372,0,0.0284,0.00155
1.2E-4,0,0.02403,0,0.02623,0.00155
9E-5,0,0.02405,0,0.02619,0.00155
-1.00E-05,0,0.024,0,0.02876,0.00155
3.7E-4,0,0.02434,0,0.02682,0.00155
3E-5,0,0.02393,0,0.02646,0.00155
2.9E-4,0,0.02432,0,0.02879,0.00155
8E-4,0,0.02453,0,0.02702,0.00155
8.1E-4,0,0.02446,0,0.02635,0.00155
0.00101,0,0.02455,0,0.02872,0.00155
6E-4,0,0.02499,0,0.02823,0.00155
7.7E-4,0,0.02504,0,0.02701,0.00155
9.2E-4,0,0.02479,0,0.02719,0.00155
5E-4,0,0.02497,0,0.02876,0.00155
6E-4,0,0.0251,0,0.02807,0.00155
0.00105,0,0.02514,0,0.0265,0.00155
8E-4,0,0.02516,0,0.02678,0.00155
5.5E-4,0,0.02505,0,0.02804,0.00155
7.8E-4,0,0.02533,0,0.02895,0.00155
9.7E-4,0,0.02567,0,0.0266,0.00155
0.0012,0,0.02537,0,0.02693,0.00155
8.4E-4,0,0.02541,0,0.02877,0.00155
8.5E-4,0,0.02539,0,0.0289,0.00155
6.5E-4,0,0.02561,0,0.02656,0.00155
8.6E-4,0,0.02553,0,0.02721,0.00155
8.2E-4,0,0.02558,0,0.02832,0.00155
6.3E-4,0,0.02507,0,0.02809,0.00155
8.2E-4,0,0.02505,0,0.02678,0.00158
0.00101,0,0.0255,0,0.02824,0.00158
4.8E-4,0,0.02567,0,0.02907,0.00158
7.1E-4,0,0.02531,0,0.02673,0.00158
4.6E-4,0,0.02539,0,0.02779,0.00158
5.7E-4,0,0.02562,0,0.02944,0.00158
0.00111,0,0.02612,0,0.02717,0.00158
0.00113,0,0.02578,0,0.0286,0.00158
0.00113,0,0.0259,0,0.02939,0.00158
4.4E-4,0,0.02591,0,0.02749,0.00158
6.6E-4,0,0.02585,0,0.02896,0.00158
7.1E-4,0,0.02581,0,0.02861,0.00158
0.00151,0,0.02571,0,0.02744,0.00158
0.00117,0,0.02634,0,0.02954,0.00158
0.00135,0,0.02659,0,0.02892,0.00158
0.00131,0,0.02639,0,0.02738,0.00158
0.00129,0,0.02644,0,0.02937,0.00158
0.00141,0,0.02639,0,0.0285,0.00158
0.00116,0,0.02647,0,0.02771,0.00158
0.0011,0,0.02631,0,0.02965,0.00158
0.00153,0,0.02651,0,0.02836,0.00158
0.00143,0,0.02643,0,0.02733,0.00158
0.00139,0,0.02652,0,0.02935,0.00158
0.00155,0,0.0267,0,0.02848,0.00158
0.00152,0,0.02684,0,0.02733,0.00158
0.00126,0,0.02625,0,0.02974,0.00158
0.00217,0,0.02678,0,0.0289,0.00158
8.2E-4,0,0.02689,0,0.02799,0.00158
0.00116,0,0.02699,0,0.03006,0.00158
0.00127,0,0.02681,0,0.02925,0.00158
1.6E-4,0,0.0265,0,0.02771,0.00158
0.00223,0,0.02694,0,0.02995,0.00158
0.0018,0,0.02703,0,0.02916,0.00158
0.00204,0,0.02743,0,0.0275,0.00158
0.00116,0,0.02707,0,0.03034,0.00158
0.00158,0,0.02712,0,0.02931,0.00158
0.00176,0,0.02711,0,0.02845,0.00158
0.00178,0,0.02692,0,0.03044,0.00158
0.0019,0,0.02713,0,0.03012,0.00158
0.00191,0,0.02685,0,0.02827,0.00158
0.00194,0,0.02704,0,0.0301,0.00158
0.00184,0,0.02718,0,0.03,0.00158
0.00131,0,0.02707,0,0.02796,0.00158
0.00159,0,0.02721,0,0.03012,0.00158
0.00155,0,0.02729,0,0.03022,0.00158
0.00185,0,0.02727,0,0.02848,0.00158
0.00117,0,0.02687,0,0.0306,0.00158
0.0015,0,0.02666,0,0.03022,0.00158
0.00172,0,0.02635,0,0.02828,0.00158
0.00129,0,0.02644,0,0.02999,0.00158
0.00189,0,0.02679,0,0.03035,0.00158
0.00211,0,0.02668,0,0.0285,0.00158
0.00217,0,0.02652,0,0.02895,0.00158
0.0016,0,0.02671,0,0.03106,0.00158
0.00271,0,0.0267,0,0.02929,0.00158
0.002,0,0.02672,0,0.02888,0.00158
0.00192,0,0.02703,0,0.03088,0.00158
0.00231,0,0.02687,0,0.0305,0.00158
0.0019,0,0.02672,0,0.02878,0.00158
0.00202,0,0.02728,0,0.03079,0.00158
0.00166,0,0.02688,0,0.03025,0.00158
0.00173,0,0.02701,0,0.0289,0.00158
0.00178,0,0.02681,0,0.031,0.00158
0.00158,0,0.02682,0,0.0299,0.00158
0.00173,0,0.02689,0,0.02904,0.00158
0.00108,0,0.02682,0,0.03181,0.00158
0.00181,0,0.02718,0,0.02967,0.00158
0.0019,0,0.02718,0,0.02907,0.00158
0.00229,0,0.0272,0,0.03189,0.00159
0.00246,0,0.02737,0,0.02958,0.00159
0.00243,0,0.0277,0,0.02993,0.00159
0.00219,0,0.02758,0,0.0316,0.00159
0.00212,0,0.02779,0,0.02896,0.00159
0.00167,0,0.02738,0,0.03025,0.00159
0.00168,0,0.02714,0,0.03152,0.0016
0.00175,0,0.02738,0,0.02914,0.0016
0.00195,0,0.02759,0,0.03114,0.0016
0.00206,0,0.0272,0,0.03086,0.0016
0.00193,0,0.02744,0,0.02931,0.0016
0.0024,0,0.02744,0,0.03066,0.0016
0.00243,0,0.02742,0,0.03022,0.0016
0.0025,0,0.0273,0,0.02914,0.0016
0.00259,0,0.0278,0,0.03084,0.0016
0.00229,0,0.02792,0,0.03028,0.0016
0.00273,0,0.02796,0,0.02923,0.0016
0.00267,0,0.02759,0,0.03131,0.0016
0.00259,0,0.02828,0,0.03025,0.0016
0.00294,0,0.02792,0,0.02959,0.0016
0.00254,0,0.02828,0,0.0315,0.0016
0.00309,0,0.02861,0,0.03011,0.0016
0.00288,0,0.02812,0,0.03048,0.0016
0.00256,0,0.02833,0,0.03263,0.0016
0.00303,0,0.02894,0,0.03061,0.0016
0.00319,0,0.02872,0,0.03068,0.0016
0.00275,0,0.02897,0,0.03254,0.0016
0.00269,0,0.02885,0,0.03027,0.0016
0.00265,0,0.02905,0,0.0311,0.0016
0.00266,0,0.02914,0,0.03271,0.0016
0.00313,0,0.02881,0,0.03053,0.0016
0.00292,0,0.02874,0,0.03107,0.0016
0.00261,0,0.02892,0,0.03237,0.0016
0.00254,0,0.02871,0,0.03062,0.0016
0.00252,0,0.02807,0,0.03108,0.0016
0.00113,0,0.0274,0,0.03291,0.0016
0.00191,0,0.02754,0,0.03027,0.0016
0.00233,0,0.02704,0,0.03046,0.0016
0.00278,0,0.02669,0,0.0323,0.0016
0.00198,0,0.02699,0,0.03068,0.0016
0.00115,0,0.02622,0,0.03012,0.0016
0.00213,0,0.02575,0,0.03196,0.0016
0.00157,0,0.02585,0,0.02971,0.0016
0.00167,0,0.02538,0,0.02944,0.0016
9.2E-4,0,0.02526,0,0.03162,0.0016
0.00146,0,0.02524,0,0.03045,0.0016
0.002,0,0.02522,0,0.02967,0.0016
0.00157,0,0.02487,0,0.03133,0.0016
0.00135,0,0.02435,0,0.02985,0.0016
9.1E-4,0,0.02433,0,0.0294,0.0016
0.00106,0,0.02392,0,0.03128,0.0016
9.1E-4,0,0.0238,0,0.02932,0.0016
8.9E-4,0,0.02351,0,0.0288,0.0016
5.6E-4,0,0.0233,0,0.03072,0.0016
5.6E-4,0,0.02328,0,0.02855,0.0016
1.7E-4,0,0.02339,0,0.03024,0.0016
5E-4,0,0.023,0,0.03057,0.0016
6.1E-4,0,0.02314,0,0.02845,0.0016
2.3E-4,0,0.02354,0,0.03032,0.0016
3.5E-4,0,0.02364,0,0.02971,0.0016
1.1E-4,0,0.02338,0,0.02855,0.0016
1.5E-4,0,0.02311,0,0.03044,0.0016
