PWP-0.25m,Normalized CAT-RMS,PVP-0.50m,Normalized CAT-RMS,PVP-0.75m,Normalized CAT-RMS
x1,y1,x2,y2,x3,y3
0.03464,0,0.01009,0,0.00281,0
0.03501,0,0.00997,0,0.00326,0
0.03506,0,0.00986,0,0.0031,0
0.035,0,0.01013,0,0.00338,0
0.0349,0,0.01013,0,0.00319,0
0.03507,0,0.01032,0,0.00317,0
0.03501,0,0.01051,0,0.00344,0
0.03502,0,0.01029,0,0.00334,0
0.03497,0,0.01018,0,0.00315,0
0.03464,0,0.01037,0,0.00323,0
0.03458,0,0.01051,0,0.00299,0
0.03497,0,0.01058,0,0.00253,0
0.03508,0,0.01043,0,0.00284,0
0.0351,0,0.01037,0,0.00256,0
0.03546,0,0.01063,0,0.00226,0
0.03512,0,0.01013,0,0.00223,0
0.03459,0,0.01045,0,0.00224,0
0.03462,0,0.0105,0,0.00234,0
0.03466,0,0.00973,0,0.00212,0
0.0344,0,0.00946,0,0.0023,0
0.03514,0,0.00999,0,0.00194,0
0.03578,0,0.01007,0,0.00118,0
0.03468,0,0.00954,0,0.0025,0
0.03489,0,0.01012,0,0.00225,0
0.03549,0,0.01002,0,0.00209,0
0.03476,0,0.01013,0,0.00229,0
0.03479,0,0.01023,0,0.00207,0
0.03519,0,0.01022,0,0.0024,0
0.03539,0,0.01011,0,0.00193,0
0.0349,0,0.01024,0,0.00237,0
0.03539,0,0.0101,0,0.00259,0
0.0354,0,0.01012,0,0.0025,0
0.03502,0,0.0105,0,0.0024,0
0.03524,0,0.01007,0,0.00205,0
0.03502,0,0.01029,0,0.00229,0
0.03517,0,0.01007,0,0.00206,0
0.03507,0,0.00975,0,0.00224,0
0.03565,0,0.00982,0,0.00186,0
0.03523,0,0.00966,0,0.00191,0
0.03512,0,0.00976,0,0.00162,0
0.03522,0,0.00993,0,0.00147,0
0.0351,0,0.00993,0,0.00109,0
0.0353,0,0.0096,0,0.0015,0
0.03568,0,0.01008,0,0.00204,0
0.03569,0,0.01048,0,0.00214,0
0.036,0,0.01081,0,0.0024,0
0.03575,0,0.01041,0,0.00267,0
0.03628,0,0.01075,0,0.00305,0
0.03677,0,0.01122,0,0.00378,0
0.03646,0,0.01161,0,0.00374,0
0.03658,0,0.01197,0,0.00444,0
0.03673,0,0.01272,0,0.0045,0
0.03648,0,0.01238,0,0.00461,0
0.03651,0,0.01273,0,0.00436,0
0.03675,0,0.01261,0,0.00444,0
0.03674,0,0.01256,0,0.00413,0
0.03703,0,0.01279,0,0.00351,0
0.03647,0,0.01191,0,0.00431,0
0.0364,0,0.01163,0,0.00421,0
0.03615,0,0.01148,0,0.00408,0
0.0363,0,0.01183,0,0.00428,0
0.03687,0,0.01195,0,0.00342,0
0.03713,0,0.01241,0,0.00329,0
0.03682,0,0.01199,0,0.004,0
0.03716,0,0.01214,0,0.00319,0
0.03704,0,0.01203,0,0.00369,0
0.03686,0,0.01157,0,0.00319,0
0.03708,0,0.01165,0,0.00292,0
0.03683,0,0.01122,0,0.00344,0
0.03695,0,0.01118,0,0.00291,0
0.03693,0,0.01087,0,0.00283,0
0.0371,0,0.01108,0,0.00362,0
0.0372,0,0.01127,0,0.00343,0
0.03711,0,0.01118,0,0.00318,0
0.03716,0,0.01103,0,0.00376,0
0.03722,0,0.01153,0,0.00393,0
0.03725,0,0.01132,0,0.00334,0
0.03699,0,0.01133,0,0.00363,0
0.03718,0,0.01141,0,0.00377,0
0.03755,0,0.01133,0,0.00376,0
0.03724,0,0.01161,0,0.00394,0
0.03752,0,0.01172,0,0.00412,0
0.03747,0,0.01174,0,0.00426,0
0.03771,0,0.01239,0,0.00418,0
0.03736,0,0.01211,0,0.00398,0
0.03676,0,0.01164,0,0.00417,0
0.037,0,0.01211,0,0.00389,0
0.03709,0,0.01184,0,0.0039,0
0.03708,0,0.01188,0,0.00341,0
0.03727,0,0.01166,0,0.00313,0
0.03728,0,0.01178,0,0.00388,0
0.03728,0,0.012,0,0.00339,0
0.03696,0,0.01157,0,0.00359,0
0.03724,0,0.01202,0,0.00331,0
0.03701,0,0.01217,0,0.00341,0
0.03718,0,0.01221,0,0.00341,0
0.03755,0,0.012,0,0.00342,0
0.03787,0,0.01222,0,0.00339,0
0.03788,0,0.01239,0,0.00402,0
0.03753,0,0.01253,0,0.00373,0
0.03771,0,0.01259,0,0.00334,0
0.03827,0,0.01261,0,0.00352,0
0.03785,0,0.01256,0,0.00333,0
0.03769,0,0.01269,0,0.00367,0
0.03803,0,0.01296,0,0.00357,0
0.03776,0,0.01275,0,0.00373,0
0.03784,0,0.01275,0,0.00412,0
0.03786,0,0.01231,0,0.00402,0
0.03791,0,0.01227,0,0.00394,0
0.038,0,0.01271,0,0.00389,0
0.03775,0,0.01264,0,0.00401,0
0.03828,0,0.01287,0,0.00384,0
0.03835,0,0.01273,0,0.00382,0
0.03809,0,0.01291,0,0.00427,0
0.03808,0,0.01214,0,0.0035,0
0.03784,0,0.01188,0,0.00369,0
0.03804,0,0.01196,0,0.00345,0
0.03778,0,0.01187,0,0.00348,0
0.03796,0,0.01197,0,0.00324,0
0.03816,0,0.01205,0,0.00359,0
0.03813,0,0.01222,0,0.00389,0
0.03795,0,0.01231,0,0.00396,0
0.03813,0,0.01241,0,0.00377,0
0.03838,0,0.01236,0,0.00407,0
0.03832,0,0.0123,0,0.00361,0
0.03843,0,0.01266,0,0.00427,0
0.0381,0,0.01257,0,0.00386,0
0.03835,0,0.01257,0,0.00389,0
0.03855,0,0.0122,0,0.00408,0
0.03856,0,0.01293,0,0.00418,0
0.0388,0,0.01293,0,0.00386,0
0.03855,0,0.01256,0,0.00409,0
0.0392,0,0.01242,0,0.00366,0
0.03878,0,0.01258,0,0.00354,0
0.03896,0,0.0128,0,0.00388,0
0.03834,0,0.01298,0,0.0041,0
0.03832,0,0.01289,0,0.00384,0
0.03878,0,0.01302,0,0.00387,0
0.03893,0,0.01325,0,0.00362,0
0.03924,0,0.01334,0,0.00359,0
0.03883,0,0.01316,0,0.00385,0
0.03915,0,0.01322,0,0.00322,0
0.03866,0,0.01302,0,0.00396,0
0.03866,0,0.01289,0,0.00421,0
0.03885,0,0.01338,0,0.00364,0
0.03917,0,0.01277,0,0.00386,0
0.03919,0,0.01274,0,0.00361,0
0.03976,0,0.01326,0,0.0037,0
0.03955,0,0.01298,0,0.00415,0
0.03951,0,0.01286,0,0.00406,0
0.03928,0,0.01271,0,0.0041,0
0.03965,0,0.01266,0,0.00406,0
0.03967,0,0.01282,0,0.00455,0
0.03958,0,0.01273,0,0.00413,0
0.0393,0,0.0127,0,0.00394,0
0.03927,0,0.01273,0,0.00372,0
0.03921,0,0.01323,0,0.00383,0
0.03926,0,0.0129,0,0.00389,0
0.03912,0,0.01266,0,0.00377,0
0.03893,0,0.01292,0,0.00367,0
0.0394,0,0.01293,0,0.00408,0
0.03935,0,0.01312,0,0.00364,0
0.03953,0,0.01303,0,0.00345,0
0.03928,0,0.01328,0,0.00371,0
0.03964,0,0.01348,0,0.00349,0
0.03958,0,0.01314,0,0.00348,0
0.03965,0,0.01317,0,0.00381,0
