MS-0.25m,Normalized CAT-RMS,MS-0.75m,Normalized CAT-RMS
x1,y1,x2,y2
27.60108,0,36.89998,0.00273
27.49959,0,36.89998,0.00273
27.49959,0,36.89998,0.00273
27.60108,0,37.00208,0.00273
27.49959,0,36.89998,0.00273
27.49959,0,37.00208,0.00273
27.49959,0,37.00208,0.00273
27.60108,0,36.89998,0.00273
27.60108,0,37.00208,0.00273
27.60108,0,36.89998,0.00273
27.60108,0,36.89998,0.00273
27.49959,0,37.00208,0.00273
27.60108,0,37.00208,0.00273
27.60108,0,37.00208,0.00273
27.49959,0,37.00208,0.00273
27.60108,0,37.09592,0.00273
27.49959,0,36.89998,0.00273
27.49959,0,36.89998,0.00273
27.60108,0,37.00208,0.00273
27.49959,0,37.00208,0.00273
27.49959,0,36.89998,0.00273
27.60108,0,36.89998,0.00273
27.60108,0,37.00208,0.00277
27.49959,0,37.00208,0.00277
27.60108,0,36.89998,0.00277
27.49959,0,36.89998,0.00278
27.60108,0,37.00208,0.00278
27.49959,0,37.00208,0.00278
27.60108,0,37.00208,0.00278
27.60108,0,36.79816,0.00286
27.70296,0,36.89998,0.00286
27.49959,0,36.89998,0.00286
27.60108,0,36.89998,0.00287
27.60108,0,36.89998,0.00288
27.49959,0,36.89998,0.00288
27.60108,0,37.00208,0.00288
27.60108,0,37.00208,0.00288
27.49959,0,37.00208,0.00288
27.49959,0,37.00208,0.00289
27.49959,0,37.00208,0.00289
27.49959,0,37.00208,0.00289
27.60108,0,36.79816,0.00289
27.49959,0,36.89998,0.00294
27.60108,0,36.89998,0.00294
27.60108,0,36.89998,0.00294
27.49959,0,36.79816,0.00294
27.49959,0,37.00208,0.00294
27.60108,0,36.89998,0.00294
27.49959,0,36.89998,0.00294
27.49959,0,36.89998,0.00294
27.49959,0,36.89998,0.00294
27.49959,0,37.00208,0.00294
27.60108,0,36.79816,0.00294
27.49959,0,36.89998,0.00294
27.60108,0,36.89998,0.00294
27.49959,0,37.00208,0.00294
