MS-0.25m,Normalized CAT-RMS,MS-0.5m,Normalized CAT-RMS,MS-0.75m,Normalized CAT-RMS
x1,y1,x2,y2,x3,y3
42.59,0,26,0,36.8,0
42.81,0,25.7,0,36.9,0
42.69,0,25.3,0,36.7,0
42.91,0,25.1,0,36.8,0
42.5,0,24.8,0,36.8,0
42.81,0,24.6,0,36.7,0
42.59,0,24.3,0,36.7,0
42.59,0,24.1,0,36.8,0
42.81,0,23.9,0,36.8,0
42.59,0,23.6,0,36.7,0
42.69,0,23.4,0,36.7,0
42.59,0,23.1,0,36.8,0
42.59,0,22.9,0,36.8,0
42.81,0,22.6,0,36.8,0
42.59,0,22.5,0,36.7,0
42.91,0,22.1,0,36.8,0
42.59,0,22,0,36.8,0
42.69,0,21.7,0,36.7,0
42.91,0,21.5,0,36.7,0
42.69,0,21.3,0,36.7,0
42.59,0,21.1,0,36.8,0
42.81,0,20.9,0,36.7,0
42.91,0,20.7,0,36.8,0
42.91,0,20.5,0,36.8,0
42.81,0,20.4,0,36.7,0
42.69,0,20.2,0,36.6,0
42.69,0,20,0,36.8,0
42.81,0,19.9,0,36.7,0
42.59,0,19.7,0,36.8,0
42.59,0,19.6,0,36.8,0
42.69,0,19.4,0,36.8,0
42.5,0,19.3,0,36.7,0
42.81,0,19.2,0,36.8,0
42.81,0,19.1,0,36.8,0
42.91,0,19,0,36.8,0
42.81,0,18.8,0,36.8,0
43,0,18.7,0,36.7,0
42.69,0,18.6,0,36.7,0
42.81,0,18.5,0,36.7,0
42.81,0,18.4,0,36.8,0
42.81,0,18.3,0,36.7,0
42.81,0,18.2,0,36.7,0
42.5,0,18.1,0,36.7,0
42.69,0,18,0,36.8,0
42.81,0,17.9,0,36.7,0
42.5,0,17.8,0,36.7,0
42.69,0,17.6,0,36.8,0
42.69,0,17.6,0,36.7,0
42.5,0,17.5,0,36.6,0
42.81,0,17.4,0,36.7,0
42.81,0,17.3,0,36.7,0
42.69,0,17.2,0,36.7,0
42.81,0,17.1,0,36.8,0
42.81,0,17,0,36.8,0
42.69,0,16.9,0,36.8,0
42.59,0,16.9,0,36.8,0
42.81,0,16.8,0,36.7,0
42.81,0,16.7,0,36.7,0
42.59,0,16.6,0,36.7,0
42.59,0,16.5,0,36.8,0
42.59,0,16.5,0,36.7,0
42.69,0,16.4,0,36.7,0
42.69,0,16.3,0,36.7,0
42.81,0,16.2,0,36.9,0
42.91,0,16.2,0,36.7,0
42.69,0,16.2,0,36.8,0
42.69,0,16,0,36.7,0
42.69,0,16,0,36.7,0
42.59,0,15.9,0,36.7,0
42.69,0,15.8,0,36.7,0
42.59,0,15.8,0,36.7,0
42.5,0,15.8,0,36.8,0
42.5,0,15.7,0,36.8,0
42.69,0,15.6,0,36.8,0
42.59,0,15.6,0,36.8,0
42.59,0,15.5,0,36.7,0
42.59,0,15.4,0,36.8,0
42.69,0,15.4,0,36.8,0
42.5,0,15.3,0,36.7,0
42.59,0,15.3,0,36.7,0
42.81,0,15.2,0,36.8,0
42.69,0,15.2,0,36.8,0
42.69,0,15.1,0,36.7,0
42.69,0,15,0,36.8,0
42.5,0,15,0,36.6,0
42.59,0,15,0,36.7,0
42.59,0,14.9,0,36.8,0
42.59,0,14.8,0,36.7,0
42.69,0,14.8,0,36.8,0
42.59,0,14.8,0,36.7,0
42.59,0,14.7,0,36.7,0
42.59,0,14.7,0,36.7,0
42.69,0,14.6,0,36.8,0
42.81,0,14.6,0,36.7,0
42.5,0,14.5,0,36.8,0
42.81,0,14.5,0,36.7,0
42.59,0,14.4,0,36.8,0
42.69,0,14.4,0,36.8,0
42.69,0,14.4,0,36.8,0
42.5,0,14.3,0,36.7,0
42.69,0,14.3,0,36.7,0
42.69,0,14.2,0,36.8,0
42.69,0,14.2,0,36.7,0
42.81,0,14.2,0,36.7,0
42.5,0,14.1,0,36.7,0
42.59,0,14.1,0,36.7,0
42.5,0,14,0,36.7,0
42.69,0,14,0,36.8,0
42.69,0,14,0,36.8,0
42.69,0,13.9,0,36.8,0
42.69,0,13.9,0,36.7,0
42.59,0,13.9,0,36.8,0
42.81,0,13.8,0,36.8,0
42.69,0,13.8,0,36.7,0
42.5,0,13.8,0,36.7,0
42.81,0,13.7,0,36.7,0
42.5,0,13.7,0,36.7,0
42.69,0,13.7,0,36.6,0
42.69,0,13.6,0,36.8,0
42.59,0,13.6,0,36.7,0
42.59,0,13.6,0,36.8,0
42.81,0,13.6,0,36.6,0
42.59,0,13.5,0,36.7,0
42.81,0,13.5,0,36.7,0
42.4,0,13.4,0,36.7,0
42.69,0,13.4,0,36.7,0
42.59,0,13.4,0,36.7,0
42.59,0,13.3,0,36.7,0
42.5,0,13.3,0,36.8,0
42.81,0,13.3,0,36.7,0
42.59,0,13.3,0,36.7,0
42.69,0,13.3,0,36.7,0
42.59,0,13.2,0,36.7,0
42.69,0,13.2,0,36.8,0
42.59,0,13.2,0,36.7,0
42.69,0,13.1,0,36.7,0
42.69,0,13.1,0,36.7,0
42.59,0,13.1,0,36.7,0
42.59,0,13,0,36.6,0
42.81,0,13,0,36.7,0
42.5,0,13,0,36.7,0
42.59,0,13,0,36.6,0
42.59,0,13,0,36.7,0
42.59,0,12.9,0,36.7,0
42.59,0,12.9,0,36.7,0
42.5,0,12.9,0,36.6,0
42.5,0,12.8,0,36.7,0
42.59,0,12.8,0,36.6,0
42.69,0,12.8,0,36.7,0
42.59,0,12.8,0,36.6,0
