Time,Ch240-242,Ch245-247,Ch250-252,Ch255-257
08:03.9,9.857807e-05,0.000152846,-0.0000792,-0.000759363
08:04.9,0.000103395,0.000165123,-0.0000787,-0.000774635
08:05.9,0.000110944,0.000170406,-0.000076,-0.000787655
08:06.9,0.000119994,0.000169654,-0.0000718,-0.000798241
08:07.9,0.000128611,0.000164281,-0.0000674,-0.000806676
08:08.9,0.000134545,0.000155687,-0.0000634,-0.000813564
08:09.9,0.000137106,0.0001455,-0.0000609,-0.000819049
08:10.9,0.00013759,0.000135153,-0.0000599,-0.000823169
08:11.9,0.000137887,0.000126118,-0.0000591,-0.000826605
08:12.9,0.000138377,0.000119225,-0.0000569,-0.00083031
08:13.9,0.00013811,0.00011442,-0.0000517,-0.000835693
08:14.9,0.00013753,0.000111388,-0.000043,-0.000843374
08:15.9,0.000138272,0.000109609,-0.0000315,-0.000852475
08:16.9,0.000141229,0.000108572,-0.0000181,-0.000861595
08:17.9,0.00014595,0.000108262,-0.00000469,-0.000870562
08:18.9,0.000151111,0.00010879,7.0858027e-06,-0.000881145
08:19.9,0.000155376,0.000110276,1.6171858e-05,-0.000895445
08:20.9,0.000158571,0.000112592,2.2780207e-05,-0.000914323
08:21.9,0.000160938,0.000115117,2.7748387e-05,-0.000937032
08:22.9,0.000162814,0.000116967,3.1498337e-05,-0.000961343
08:23.9,0.000164451,0.000118343,3.4209195e-05,-0.000983546
08:24.9,0.000166095,0.000121054,3.5207413e-05,-0.001000204
08:25.8,0.000168181,0.000125938,3.4055858e-05,-0.001011499
08:26.8,0.00017065,0.000132146,3.255264e-05,-0.00102008
08:27.8,0.000172593,0.000136787,3.327793e-05,-0.001028064
08:28.8,0.000172896,0.000136938,3.757952e-05,-0.001036229
08:29.8,0.000170657,0.000132927,4.510156e-05,-0.001044348
08:30.8,0.000166273,0.000127411,5.3701846e-05,-0.001050597
08:31.8,0.000160803,0.000122141,6.0441813e-05,-0.001052995
08:32.8,0.000155854,0.000117281,6.286244e-05,-0.001050932
08:33.8,0.000152811,0.000112837,6.0222814e-05,-0.001044872
08:34.8,0.000151539,0.000109212,5.3041087e-05,-0.001036683
08:35.8,0.000151411,0.000106606,4.1983218e-05,-0.001028969
08:36.8,0.000152176,0.000104025,2.8020493e-05,-0.001024055
08:37.8,0.000153932,0.000100669,1.2640541e-05,-0.001023395
08:38.8,0.00015656,9.687798e-05,-0.00000278,-0.001027201
08:39.8,0.000160034,9.326318e-05,-0.0000173,-0.001033674
08:40.8,0.000163663,9.10613e-05,-0.0000295,-0.001040278
08:41.8,0.000166775,9.211648e-05,-0.0000382,-0.001045187
08:42.8,0.000168954,9.696713e-05,-0.0000424,-0.001047987
08:43.8,0.000169637,0.000105144,-0.0000424,-0.001049924
08:44.8,0.000168946,0.000115249,-0.0000405,-0.001053169
08:45.8,0.000167386,0.000125165,-0.0000395,-0.001059912
08:46.8,0.000165097,0.000133493,-0.0000411,-0.001070899
08:47.8,0.000161848,0.000139729,-0.0000453,-0.001084882
08:48.8,0.000157606,0.000144315,-0.0000504,-0.001098439
08:49.8,0.000151705,0.000148595,-0.0000552,-0.001107289
08:50.8,0.000144481,0.00015227,-0.0000586,-0.001109057
08:51.8,0.000138118,0.000152898,-0.0000604,-0.001102813
08:52.8,0.000134345,0.000148689,-0.0000609,-0.001089773
08:53.8,0.000132793,0.000140186,-0.0000609,-0.001073302
08:54.8,0.000131755,0.000129212,-0.0000611,-0.001056475
08:55.8,0.000129994,0.00011815,-0.0000617,-0.001041959
08:56.8,0.000127837,0.000109212,-0.0000626,-0.001030356
08:57.8,0.00012637,0.000103856,-0.0000628,-0.001019199
08:58.8,0.00012658,0.000102902,-0.0000613,-0.001005467
08:59.8,0.00012911,0.000106562,-0.0000581,-0.000988638
09:00.8,0.000133315,0.000113661,-0.0000545,-0.000970603
09:01.8,0.000137689,0.000122687,-0.0000515,-0.000953972
09:02.8,0.000141056,0.000131953,-0.0000485,-0.000941399
09:03.8,0.000142828,0.000139752,-0.0000448,-0.000934987
09:04.8,0.000143201,0.000145224,-0.0000409,-0.000934516
09:05.8,0.000141866,0.000147757,-0.0000388,-0.000937863
09:06.8,0.000139186,0.000146712,-0.0000395,-0.000942373
09:07.8,0.000136599,0.000142733,-0.0000421,-0.000945734
09:08.8,0.000135481,0.000136985,-0.0000453,-0.000948232
09:09.8,0.000136758,0.000131137,-0.0000483,-0.000951295
09:10.8,0.000141377,0.000127179,-0.0000509,-0.000953951
09:11.8,0.00014889,0.0001261,-0.000053,-0.000953874
09:12.8,0.000156563,0.000127584,-0.0000545,-0.000949236
09:13.8,0.000160998,0.000131317,-0.0000561,-0.000938986
09:14.8,0.000160169,0.000137165,-0.0000594,-0.000923447
09:15.8,0.000153733,0.000144018,-0.0000651,-0.000904135
09:16.8,0.000142103,0.000150581,-0.0000736,-0.00088339
09:17.8,0.000125754,0.000157073,-0.0000855,-0.000863759
09:18.8,0.000105193,0.000163198,-0.0000995,-0.000847145
09:19.8,8.257994e-05,0.000167518,-0.000113339,-0.00083383
09:20.8,6.1443294e-05,0.000169021,-0.000124994,-0.000821966
09:21.8,4.5214198e-05,0.000168154,-0.000133744,-0.000809167
09:22.8,3.5764555e-05,0.00016615,-0.000139123,-0.000794364
09:23.8,3.2538774e-05,0.000164101,-0.000140504,-0.000779115
09:24.8,3.3218123e-05,0.000163386,-0.000137943,-0.000767051
09:25.8,3.585374e-05,0.000165179,-0.000132301,-0.000761312
09:26.7,3.958893e-05,0.000169621,-0.000125494,-0.00076191
09:27.7,4.4154895e-05,0.000175909,-0.000119822,-0.000766016
09:28.7,4.9947303e-05,0.000183004,-0.000116053,-0.000769791
09:29.7,5.6896683e-05,0.000189311,-0.000114015,-0.000770272
09:30.7,6.325411e-05,0.000193809,-0.000112847,-0.00076617
09:31.7,6.711202e-05,0.000195887,-0.000112047,-0.00075729
09:32.7,6.824925e-05,0.000195691,-0.000110912,-0.000744973
09:33.7,6.8776586e-05,0.000193523,-0.000108911,-0.000731573
09:34.7,7.136614e-05,0.00018982,-0.000105901,-0.000719168
09:35.7,7.640643e-05,0.000185403,-0.000102583,-0.000708544
09:36.7,8.2578714e-05,0.000180282,-0.0000994,-0.000699976
09:37.7,8.89331e-05,0.000173936,-0.0000965,-0.000694769
09:38.7,9.4896764e-05,0.000166889,-0.0000933,-0.000694052
09:39.7,9.963807e-05,0.000160223,-0.0000902,-0.000697129
09:40.7,0.000101398,0.000154678,-0.0000868,-0.000701628
09:41.7,9.902444e-05,0.00015129,-0.0000825,-0.000704545
