case,panel,series,x,y,x_unit,y_unit,source_file,downsample_factor,interpolation_method,label
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.237293,301.280352,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.250000,309.856368,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.262707,318.674864,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.275414,327.742601,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.288120,337.066523,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.300827,346.653763,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.313534,356.511645,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.326241,366.647692,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.338947,377.069626,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.351654,387.785380,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.364361,398.803098,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.377068,410.131141,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.389774,421.778093,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.402481,433.752768,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.415188,446.064213,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.427895,458.721714,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.440602,471.734805,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.453308,485.113268,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.466015,498.867145,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.478722,513.006740,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.491429,527.542628,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.504135,542.485659,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.516842,557.846964,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.529549,573.637965,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.542256,589.870379,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.554962,606.556224,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.567669,623.707828,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.580376,641.337834,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.593083,659.459209,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.605789,678.085247,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.618496,697.229582,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.631203,716.906191,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.643910,737.129401,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.656617,757.913900,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.669323,779.274741,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.682030,801.227352,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.694737,823.787540,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.707444,846.971503,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.720150,870.795835,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.732857,895.277533,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.745564,920.434008,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.758271,946.283088,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.770977,972.843031,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.783684,1000.132528,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.796391,1028.170714,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.809098,1056.977175,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.821805,1086.571952,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.834511,1116.975557,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.847218,1148.208969,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.859925,1180.293653,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.872632,1213.251560,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.885338,1247.105134,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.898045,1281.877326,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.910752,1317.591593,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.923459,1354.271909,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.936165,1391.942772,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.948872,1430.629206,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.961579,1470.356773,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.974286,1511.151576,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.986992,1553.040264,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,5.999699,1596.050037,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.012406,1640.208654,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.025113,1685.544434,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.037820,1732.086262,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.050526,1779.863591,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.063233,1828.906449,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.075940,1879.245438,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.088647,1930.911735,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.101353,1983.937099,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.114060,2038.353866,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.126767,2094.194955,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.139474,2151.493861,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.152180,2210.284659,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.164887,2270.602000,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.177594,2332.481107,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.190301,2395.957773,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.203008,2461.068354,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.215714,2527.849766,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.228421,2596.339475,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.241128,2666.575492,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.253835,2738.596359,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.266541,2812.441144,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.279248,2888.149426,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.291955,2965.761280,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.304662,3045.317268,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.317368,3126.858417,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.330075,3210.426203,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.342782,3296.062532,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.355489,3383.809722,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.368195,3473.710471,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.380902,3565.807844,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.393609,3660.145237,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.406316,3756.766351,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.419023,3855.715164,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.431729,3957.035897,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.444436,4060.772976,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.457143,4166.970997,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.469850,4275.674689,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.482556,4386.928869,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.495263,4500.778397,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.507970,4617.268134,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.520677,4736.442888,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.533383,4858.347365,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.546090,4983.026115,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.558797,5110.523475,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.571504,5240.883506,h,voxels,,,,
