CAT-RMS,Time(s),Ch90-92,S1Linear displacement sensor,Time(s),Slope surface,Horizontal crest platform
,490,0,,250707 14:32:42,0,0.4
,491,0,,250707 14:32:46,0,0.3
,492,0,,250707 14:32:50,0,0.3
,493,0,,250707 14:32:54,0,0.3
,494,0,,250707 14:32:58,0,0.4
,495,0,,250707 14:33:02,0,0.4
,496,0,,250707 14:33:06,0,0.4
,497,0,,250707 14:33:10,0,0.3
,498,0,,250707 14:33:14,0,0.4
,499,0,,250707 14:33:18,0,0.4
,500,0,,250707 14:33:22,0,0.3
,501,0,,250707 14:33:26,0,0.4
,502,0,,250707 14:33:30,0,0.4
,503,0,,250707 14:33:34,0,0.4
,504,0,,250707 14:33:38,0,0.3
,505,0,,250707 14:33:42,0,0.3
,506,0,,250707 14:33:46,0,0.4
,507,0,,250707 14:33:50,0,0.4
,508,0,,250707 14:33:54,0,0.3
,509,0,,250707 14:33:58,0,0.3
,510,0,,250707 14:34:02,0,0.3
,511,0,,250707 14:34:06,0,0.3
,512,0,,250707 14:34:10,0,0.3
,513,0,,250707 14:34:14,0,0.4
,514,0,,250707 14:34:18,0,0.3
,515,0,,250707 14:34:22,0,0.4
,516,0,,250707 14:34:26,0,0.3
,517,0,,250707 14:34:30,0,0.4
,518,0,,250707 14:34:34,0,0.4
,519,0,,250707 14:34:38,0,0.4
,520,0,,250707 14:34:42,0,0.3
,521,0,,250707 14:34:46,0,0.4
,522,0,,250707 14:34:50,0,0.4
,523,0,,250707 14:34:54,0,0.4
,524,0,,250707 14:34:58,0,0.4
,525,0,,250707 14:35:02,0,0.4
,526,0,,250707 14:35:06,0,0.4
,527,0,,250707 14:35:10,0,0.4
,528,0,,250707 14:35:14,0,0.3
,529,0,,250707 14:35:18,0,0.3
,530,0,,250707 14:35:22,0,0.4
,531,0,,250707 14:35:26,0,0.4
,532,0,,250707 14:35:30,0,0.4
,533,0,,250707 14:35:34,0,0.4
,534,0,,250707 14:35:38,0,0.4
,535,0,,250707 14:35:42,0,0.4
,536,0,,250707 14:35:46,0,0.4
,537,0,,250707 14:35:50,0,0.4
,538,0,,250707 14:35:54,0,0.4
,539,0,,250707 14:35:58,0,0.3
,540,0,,250707 14:36:02,0,0.4
,541,0,,250707 14:36:06,0,0.4
,542,0,,250707 14:36:10,0,0.4
,543,0,,250707 14:36:14,0,0.4
,544,0,,250707 14:36:18,0,0.4
,545,0,,250707 14:36:22,0,0.4
,546,0,,250707 14:36:26,0,0.4
,547,0,,250707 14:36:30,0,0.4
,548,0,,250707 14:36:34,0,0.4
,549,0,,250707 14:36:38,0,0.4
,550,0,,250707 14:36:42,0,0.4
,551,0,,250707 14:36:46,0,0.4
,552,0,,250707 14:36:50,0,0.4
,553,0,,250707 14:36:54,0,0.4
,554,0,,250707 14:36:58,0,0.4
,555,0,,250707 14:37:02,0,0.4
,556,0,,250707 14:37:06,0,0.4
,557,0,,250707 14:37:10,0,0.4
